,id,t1_score,t2_score,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
387,388,0.995,0.33,2013,1,4/7/2013,5,1,5,2,tie,0,1,0,0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,S Ravi,
388,389,1.56,1.011,2013,11,4/8/2013,10,6,6,1,normal,0,10,19,0,SK Trivedi,Sawai Mansingh Stadium,Aleem Dar,S Das,
389,390,1.303,1.226,2013,6,4/9/2013,2,7,2,2,normal,0,2,44,0,KD Karthik,Wankhede Stadium,M Erasmus,VA Kulkarni,
390,391,1.092,1.407,2013,9,4/10/2013,8,9,9,1,normal,0,9,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,
391,392,1.011,0.995,2013,5,4/11/2013,6,5,5,1,normal,0,5,0,8,CH Gayle,M Chinnaswamy Stadium,Asad Rauf,AK Chaudhary,
392,393,1.56,0,2013,2,4/11/2013,10,13,10,2,normal,0,13,0,7,AJ Finch,Subrata Roy Sahara Stadium,M Erasmus,K Srinath,
393,394,1.226,0.33,2013,8,4/12/2013,7,1,7,2,normal,0,1,0,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,
394,395,1.303,0,2013,6,4/13/2013,2,13,2,2,normal,0,2,41,0,RG Sharma,Wankhede Stadium,S Ravi,SJA Taufel,
395,396,0.995,1.407,2013,12,4/13/2013,5,9,9,1,normal,0,9,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,
396,397,1.011,0.33,2013,7,4/14/2013,6,1,6,2,normal,0,6,48,0,G Gambhir,Eden Gardens,M Erasmus,VA Kulkarni,
397,398,1.092,1.56,2013,11,4/14/2013,8,10,10,1,normal,0,10,0,6,JP Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
398,399,0,1.407,2013,12,4/15/2013,13,9,13,2,normal,0,13,24,0,SPD Smith,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,
399,400,1.092,1.011,2013,9,4/16/2013,8,6,6,1,normal,0,8,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",CK Nandan,SJA Taufel,
400,401,1.226,0.995,2013,5,4/16/2013,7,5,5,1,tie,0,5,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni,
401,402,0.33,0,2013,2,4/17/2013,1,13,13,1,normal,0,1,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
402,403,1.56,1.303,2013,11,4/17/2013,10,2,10,2,normal,0,10,87,0,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
403,404,1.407,1.226,2013,8,4/18/2013,9,7,9,2,normal,0,9,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,
404,405,1.092,0.33,2013,1,4/19/2013,8,1,8,2,normal,0,1,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,CK Nandan,
405,406,1.011,1.407,2013,7,4/20/2013,6,9,6,2,normal,0,9,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary,
406,407,1.56,0.995,2013,5,4/20/2013,10,5,5,1,normal,0,5,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
407,408,1.303,1.226,2013,8,4/21/2013,2,7,2,2,normal,0,7,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi,
408,409,0,1.092,2013,9,4/21/2013,13,8,8,1,normal,0,8,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath,
409,410,1.56,1.407,2013,12,4/22/2013,10,9,10,2,normal,0,9,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,
410,411,0.995,0,2013,5,4/23/2013,5,13,13,1,normal,0,5,130,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
411,412,1.092,1.226,2013,24,5/16/2013,8,7,7,1,normal,0,8,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi,
412,413,1.011,1.303,2013,7,4/24/2013,6,2,6,2,normal,0,2,0,5,DR Smith,Eden Gardens,HDPK Dharmasena,S Ravi,
413,414,0.33,1.407,2013,12,4/25/2013,1,9,1,2,normal,0,9,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,
414,415,1.092,1.011,2013,7,4/26/2013,8,6,8,2,normal,0,6,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,
415,416,0.33,1.56,2013,11,4/27/2013,1,10,1,2,normal,0,10,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath,
416,417,1.303,0.995,2013,6,4/27/2013,2,5,2,2,normal,0,2,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
417,418,1.407,1.011,2013,12,4/28/2013,9,6,6,1,normal,0,9,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel,
418,419,1.226,0,2013,27,4/28/2013,7,13,13,1,normal,0,7,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi,
419,420,0.995,1.56,2013,11,4/29/2013,5,10,10,1,normal,0,10,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,
420,421,1.303,1.092,2013,6,4/29/2013,2,8,2,2,normal,0,2,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,
421,422,1.407,0,2013,2,4/30/2013,9,13,9,2,normal,0,9,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
422,423,1.303,0.33,2013,1,5/1/2013,2,1,2,2,normal,0,1,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
423,424,1.011,1.226,2013,27,5/1/2013,6,7,6,2,normal,0,7,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,
424,425,1.407,1.092,2013,12,5/2/2013,9,8,9,2,normal,0,9,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
425,426,0.995,0,2013,2,5/2/2013,5,13,5,2,normal,0,5,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,
426,427,1.56,1.011,2013,7,5/3/2013,10,6,10,2,normal,0,6,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,
427,428,1.226,0.33,2013,1,5/4/2013,7,1,7,2,normal,0,1,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
428,429,0.995,1.092,2013,5,5/14/2013,5,8,8,1,normal,0,8,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi,
429,430,1.303,1.407,2013,6,5/5/2013,2,9,2,2,normal,0,2,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
430,431,0,1.56,2013,11,5/5/2013,13,10,13,2,normal,0,10,0,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,
431,432,0.33,0.995,2013,5,4/9/2013,1,5,1,2,normal,0,5,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,SJA Taufel,
432,433,1.226,1.56,2013,11,5/7/2013,7,10,7,2,normal,0,10,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker,
433,434,1.303,1.011,2013,6,5/7/2013,2,6,2,2,normal,0,2,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,
434,435,1.407,0.33,2013,1,5/8/2013,9,1,1,1,normal,0,9,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong,
435,436,1.092,1.56,2013,9,5/9/2013,8,10,10,1,normal,0,10,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi,
436,437,1.011,0,2013,2,5/9/2013,6,13,6,2,normal,0,6,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
437,438,0.995,1.226,2013,8,5/10/2013,5,7,7,1,normal,0,5,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath,
438,439,0,1.303,2013,2,5/11/2013,13,2,13,2,normal,0,2,0,5,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
439,440,0.33,1.092,2013,9,5/11/2013,1,8,8,1,normal,0,1,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker,
440,441,0.995,1.011,2013,28,5/12/2013,5,6,6,1,normal,0,6,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath,
441,442,1.407,1.56,2013,11,5/12/2013,9,10,10,1,normal,0,10,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan,
442,443,1.226,1.092,2013,8,4/23/2013,7,8,8,1,normal,0,8,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath,
443,444,0.33,1.303,2013,6,5/13/2013,1,2,1,2,normal,0,2,0,7,KA Pollard,Wankhede Stadium,AK Chaudhary,SJA Taufel,
444,445,0,1.011,2013,28,5/15/2013,13,6,6,1,normal,0,13,7,0,MK Pandey,JSCA International Stadium Complex,NJ Llong,K Srinath,
445,446,1.407,1.226,2013,12,5/14/2013,9,7,9,2,normal,0,9,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,RJ Tucker,
446,447,1.303,1.56,2013,6,5/15/2013,2,10,10,1,normal,0,2,14,0,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani,
447,448,0.995,1.092,2013,9,5/6/2013,5,8,8,1,normal,0,8,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,NJ Llong,
448,449,0.33,1.56,2013,1,5/17/2013,1,10,1,2,normal,0,1,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AK Chaudhary,
449,450,1.092,1.303,2013,24,5/18/2013,8,2,2,1,normal,0,8,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan,
450,451,0,1.226,2013,2,5/19/2013,13,7,13,2,normal,0,13,38,0,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel,
451,452,0.995,1.407,2013,5,5/18/2013,5,9,9,1,normal,0,5,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker,
452,453,1.011,0.33,2013,1,5/19/2013,6,1,6,2,normal,0,1,0,5,PA Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
453,454,1.407,1.303,2013,8,5/21/2013,9,2,9,2,normal,0,9,48,0,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker,
454,455,0.33,1.56,2013,8,5/22/2013,1,10,1,2,normal,0,10,0,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker,
455,456,1.56,1.303,2013,7,5/24/2013,10,2,10,2,normal,0,2,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,SJA Taufel,
456,457,1.303,1.407,2013,7,5/26/2013,2,9,2,2,normal,0,2,23,0,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel,
457,458,1.011,1.303,2014,29,4/16/2014,6,2,6,2,normal,0,6,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,
458,459,1.226,0.995,2014,30,4/17/2014,7,5,5,1,normal,0,5,0,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,
459,460,1.407,1.092,2014,29,4/18/2014,9,8,9,2,normal,0,8,0,6,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
460,461,0.33,1.56,2014,29,4/18/2014,1,10,10,1,normal,0,10,0,4,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth,
461,462,1.303,0.995,2014,31,4/19/2014,2,5,5,1,normal,0,5,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary,
462,463,1.011,1.226,2014,31,4/19/2014,6,7,6,2,normal,0,7,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni,
463,464,1.56,1.092,2014,30,4/20/2014,10,8,8,1,normal,0,8,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus,
464,465,1.407,1.226,2014,29,4/21/2014,9,7,9,2,normal,0,9,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
465,466,1.092,0.33,2014,30,4/22/2014,8,1,1,1,normal,0,8,72,0,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,
466,467,1.407,1.56,2014,31,4/23/2014,9,10,10,1,normal,0,9,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,
467,468,1.011,0.995,2014,30,4/24/2014,6,5,5,1,normal,0,6,2,0,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
468,469,0.33,1.226,2014,31,4/25/2014,1,7,1,2,normal,0,1,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,
469,470,1.303,1.407,2014,31,4/25/2014,2,9,2,2,normal,0,9,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus,
470,471,0.995,1.56,2014,29,4/26/2014,5,10,10,1,normal,0,10,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin,
471,472,1.092,1.011,2014,29,4/26/2014,8,6,6,1,normal,0,8,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,
472,473,1.303,1.226,2014,30,4/27/2014,2,7,2,2,normal,0,7,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
473,474,0.33,1.407,2014,30,4/27/2014,1,9,1,2,normal,0,9,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,
474,475,0.995,1.092,2014,31,4/28/2014,5,8,8,1,normal,0,8,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi,
475,476,1.56,1.011,2014,29,4/29/2014,10,6,10,2,tie,0,10,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary,
476,477,0.33,1.303,2014,31,4/30/2014,1,2,2,1,normal,0,1,15,0,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus,
477,478,1.407,1.011,2014,28,5/2/2014,9,6,9,2,normal,0,9,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,
478,479,1.092,1.303,2014,6,5/3/2014,8,2,8,2,normal,0,2,0,5,CJ Anderson,Wankhede Stadium,BNJ Oxenford,C Shamshuddin,
479,480,1.226,1.56,2014,8,5/3/2014,7,10,10,1,normal,0,10,0,7,KK Nair,Feroz Shah Kotla,SS Hazare,S Ravi,
480,481,0.33,0.995,2014,5,5/4/2014,1,5,5,1,normal,0,5,0,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni,
481,482,1.56,1.011,2014,21,5/5/2014,10,6,6,1,normal,0,10,10,0,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan,
482,483,1.226,1.407,2014,8,5/5/2014,7,9,9,1,normal,0,9,0,8,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,
483,484,1.303,0.995,2014,6,5/6/2014,2,5,5,1,normal,0,2,19,0,RG Sharma,Wankhede Stadium,S Ravi,K Srinath,
484,485,1.226,1.011,2014,8,5/7/2014,7,6,7,2,normal,0,6,0,8,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin,
485,486,1.092,1.407,2014,22,5/7/2014,8,9,9,1,normal,0,8,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak,
486,487,0.33,1.56,2014,21,5/8/2014,1,10,10,1,normal,0,1,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,
487,488,1.092,0.995,2014,5,5/9/2014,8,5,5,1,normal,0,8,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,
488,489,1.226,0.33,2014,8,5/10/2014,7,1,1,1,normal,1,1,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,
489,490,1.303,1.407,2014,6,5/10/2014,2,9,9,1,normal,0,9,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,
490,491,1.092,1.011,2014,22,5/11/2014,8,6,6,1,normal,0,6,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan,
491,492,0.995,1.56,2014,5,5/11/2014,5,10,5,2,normal,0,10,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
492,493,0.33,1.303,2014,1,5/12/2014,1,2,1,2,normal,0,2,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,
493,494,1.56,1.407,2014,28,5/13/2014,10,9,10,2,normal,0,9,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
494,495,0.995,1.226,2014,5,5/13/2014,5,7,7,1,normal,0,5,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,
495,496,0.33,1.092,2014,1,5/14/2014,1,8,8,1,normal,0,8,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,
496,497,1.303,1.011,2014,22,5/14/2014,2,6,6,1,normal,0,6,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,
497,498,1.56,1.226,2014,21,5/15/2014,10,7,7,1,normal,0,10,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
498,499,1.407,0.995,2014,28,5/18/2014,9,5,9,2,normal,0,5,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
499,500,0.33,1.011,2014,1,5/18/2014,1,6,1,2,normal,0,6,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,
500,501,1.303,1.56,2014,21,5/19/2014,2,10,2,2,normal,0,2,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
501,502,1.226,1.092,2014,8,5/19/2014,7,8,8,1,normal,0,8,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak,
502,503,0.995,0.33,2014,1,5/20/2014,5,1,5,2,normal,0,1,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,
503,504,1.407,1.011,2014,7,5/20/2014,9,6,6,1,normal,0,6,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin,
504,505,1.092,1.303,2014,9,5/21/2014,8,2,2,1,normal,0,2,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,
505,506,1.011,0.995,2014,7,5/22/2014,6,5,5,1,normal,0,6,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,
506,507,1.407,0.33,2014,28,5/22/2014,9,1,1,1,normal,0,1,0,6,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
507,508,1.303,1.226,2014,6,5/23/2014,2,7,7,1,normal,0,2,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,
508,509,1.092,1.56,2014,9,5/23/2014,8,10,10,1,normal,0,8,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,
509,510,0.995,1.407,2014,5,5/24/2014,5,9,9,1,normal,0,9,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong,
510,511,0.33,1.011,2014,7,5/24/2014,1,6,6,1,normal,0,6,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,
511,512,1.226,1.092,2014,9,5/25/2014,7,8,8,1,normal,0,8,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,
512,513,1.56,1.303,2014,6,5/25/2014,10,2,2,1,normal,0,2,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,
513,514,1.011,1.092,2014,7,5/27/2014,6,8,8,1,normal,0,6,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,
514,515,1.303,1.407,2014,6,5/28/2014,2,9,9,1,normal,0,9,0,7,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford,
515,516,1.092,1.407,2014,6,5/30/2014,8,9,9,1,normal,0,8,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker,
516,517,1.092,1.011,2014,5,6/1/2014,8,6,6,1,normal,0,6,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
517,518,1.303,1.011,2015,7,4/8/2015,2,6,6,1,normal,0,6,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,
518,519,1.407,1.226,2015,12,4/9/2015,9,7,7,1,normal,0,9,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,
519,520,1.56,1.092,2015,2,4/10/2015,10,8,8,1,normal,0,10,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,
520,521,1.407,0.33,2015,12,4/11/2015,9,1,9,2,normal,0,9,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,
521,522,1.011,0.995,2015,7,4/11/2015,6,5,5,1,normal,0,5,0,3,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin,
522,523,1.226,1.56,2015,8,4/12/2015,7,10,10,1,normal,0,10,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney,
523,524,1.092,1.303,2015,6,4/12/2015,8,2,2,1,normal,0,8,18,0,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan,
524,525,0.995,0.33,2015,5,4/13/2015,5,1,1,1,normal,0,1,0,8,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth,
525,526,1.303,1.56,2015,21,4/14/2015,2,10,2,2,normal,0,10,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry,
526,527,1.407,1.011,2015,7,4/30/2015,9,6,6,1,normal,0,6,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus,
527,528,1.092,1.226,2015,2,4/15/2015,8,7,8,2,normal,0,7,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,
528,529,0.33,1.56,2015,26,4/16/2015,1,10,10,1,normal,0,10,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,
529,530,1.303,1.407,2015,6,4/17/2015,2,9,2,2,normal,0,9,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,
530,531,1.226,0.33,2015,26,4/18/2015,7,1,7,2,normal,0,7,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,
531,532,1.092,1.011,2015,2,4/18/2015,8,6,6,1,normal,0,6,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,
532,533,1.407,1.56,2015,21,4/19/2015,9,10,9,2,normal,0,10,0,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,
533,534,1.303,0.995,2015,5,4/19/2015,2,5,5,1,normal,0,2,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,
534,535,1.226,1.011,2015,8,4/20/2015,7,6,6,1,normal,0,6,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,
535,536,1.56,1.092,2015,21,4/21/2015,10,8,8,1,tie,0,8,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,
536,537,0.33,1.011,2015,26,4/22/2015,1,6,6,1,normal,1,1,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni,
537,538,1.407,0.995,2015,5,4/22/2015,9,5,5,1,normal,0,9,27,0,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,
538,539,1.226,1.303,2015,8,4/23/2015,7,2,2,1,normal,0,7,37,0,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan,
539,540,1.56,0.995,2015,21,4/24/2015,10,5,5,1,normal,0,5,0,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,
540,541,1.303,0.33,2015,6,4/25/2015,2,1,2,2,normal,0,2,20,0,SL Malinga,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,
541,542,1.407,1.092,2015,12,4/25/2015,9,8,9,2,normal,0,9,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,
542,543,1.226,0.995,2015,8,4/26/2015,7,5,5,1,normal,0,5,0,10,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi,
543,544,0.33,1.092,2015,9,4/27/2015,1,8,8,1,normal,0,1,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney,
544,545,1.011,1.226,2015,7,5/7/2015,6,7,6,2,normal,0,6,13,0,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus,
545,546,0.995,1.56,2015,5,4/29/2015,5,10,10,1,no result,0,no result,0,0,,M Chinnaswamy Stadium,JD Cloete,PG Pathak,
546,547,1.407,1.011,2015,12,4/28/2015,9,6,6,1,normal,0,9,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni,
547,548,1.092,1.226,2015,8,5/1/2015,8,7,7,1,normal,0,7,0,9,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi,
548,549,1.303,1.56,2015,6,5/1/2015,2,10,10,1,normal,0,2,8,0,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
549,550,1.011,0.995,2015,5,5/2/2015,6,5,5,1,normal,0,5,0,7,Mandeep Singh,M Chinnaswamy Stadium,JD Cloete,PG Pathak,
550,551,0.33,1.407,2015,1,5/2/2015,1,9,9,1,normal,0,1,22,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan,
551,552,1.303,1.092,2015,9,5/3/2015,2,8,2,2,normal,0,2,23,0,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",RK Illingworth,VA Kulkarni,
552,553,1.56,1.226,2015,6,5/3/2015,10,7,7,1,normal,0,10,14,0,AM Rahane,Brabourne Stadium,HDPK Dharmasena,CB Gaffaney,
553,554,1.407,0.995,2015,12,5/4/2015,9,5,9,2,normal,0,9,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,K Srinath,
554,555,1.011,0.33,2015,7,5/4/2015,6,1,1,1,normal,0,6,35,0,UT Yadav,Eden Gardens,AK Chaudhary,M Erasmus,
555,556,1.226,1.303,2015,6,5/5/2015,7,2,7,2,normal,0,2,0,5,Harbhajan Singh,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,
