,id,t1_score,t2_score,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
260,261,0,1.56,2011,11,4/24/2011,12,10,10,1,normal,0,10,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
261,262,1.407,0,2011,12,4/25/2011,9,13,13,1,normal,0,9,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
262,263,1.226,0.995,2011,8,4/26/2011,7,5,5,1,normal,0,5,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,
263,264,0,1.407,2011,6,4/27/2011,13,9,13,2,normal,0,9,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
264,265,0,0,2011,25,4/27/2011,11,12,12,1,normal,0,11,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,
265,266,1.011,1.226,2011,8,4/28/2011,6,7,7,1,normal,0,6,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
266,267,1.303,1.56,2011,11,4/29/2011,2,10,10,1,normal,0,10,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,
267,268,0.995,0,2011,5,4/29/2011,5,13,13,1,normal,0,5,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
268,269,1.226,0,2011,25,4/30/2011,7,12,7,2,normal,0,7,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,
269,270,1.092,1.011,2011,7,4/30/2011,8,6,6,1,normal,0,6,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,
270,271,0,1.56,2011,11,5/1/2011,13,10,10,1,normal,0,10,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,
271,272,1.407,0,2011,12,5/1/2011,9,11,9,2,normal,0,9,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
272,273,1.303,1.092,2011,6,5/2/2011,2,8,8,1,normal,0,2,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,
273,274,1.226,0,2011,8,5/2/2011,7,12,12,1,normal,0,12,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,
274,275,1.011,0,2011,1,5/3/2011,6,11,11,1,normal,0,6,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,
275,276,1.56,1.407,2011,12,5/4/2011,10,9,10,2,normal,0,9,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,
276,277,1.303,0,2011,6,5/4/2011,2,13,13,1,normal,0,2,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,
277,278,0,1.011,2011,25,5/5/2011,12,6,6,1,normal,0,12,17,0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,
278,279,0,1.226,2011,1,5/5/2011,11,7,7,1,normal,0,7,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
279,280,0.995,1.092,2011,5,5/6/2011,5,8,8,1,normal,0,5,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,
280,281,1.407,1.011,2011,7,5/7/2011,9,6,9,2,normal,1,6,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,
281,282,1.303,1.226,2011,6,5/7/2011,2,7,7,1,normal,0,2,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,
282,283,0,0.995,2011,5,5/8/2011,12,5,12,2,normal,0,5,0,9,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
283,284,1.092,0,2011,9,5/8/2011,8,13,8,2,normal,0,13,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
284,285,1.407,1.56,2011,11,5/9/2011,9,10,10,1,normal,0,9,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,
285,286,0,0,2011,1,5/10/2011,11,13,11,2,normal,0,13,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
286,287,1.092,1.303,2011,9,5/10/2011,8,2,2,1,normal,0,8,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
287,288,1.56,0.995,2011,11,5/11/2011,10,5,5,1,normal,0,5,0,9,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan,
288,289,1.407,1.226,2011,12,5/12/2011,9,7,9,2,normal,0,9,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,
289,290,0,1.092,2011,4,5/13/2011,12,8,8,1,normal,0,8,0,6,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,
290,291,1.011,0.995,2011,5,5/14/2011,6,5,5,1,normal,1,5,0,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
291,292,0,1.303,2011,6,5/14/2011,11,2,11,2,normal,0,11,10,0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore,
292,293,1.092,1.226,2011,24,5/15/2011,8,7,7,1,normal,0,8,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,
293,294,1.56,0,2011,4,5/15/2011,10,12,12,1,normal,0,12,0,8,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,
294,295,0,0,2011,6,5/16/2011,13,11,11,1,normal,0,11,0,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,
295,296,1.092,0.995,2011,24,5/17/2011,8,5,8,2,normal,0,8,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
296,297,1.407,0,2011,12,5/18/2011,9,12,9,2,normal,0,9,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RE Koertzen,
297,298,0,1.011,2011,6,5/19/2011,13,6,6,1,normal,0,6,0,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,
298,299,1.303,1.56,2011,6,5/20/2011,2,10,2,2,normal,0,10,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,
299,300,0,1.092,2011,24,5/21/2011,11,8,8,1,normal,0,11,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
300,301,1.226,0,2011,8,5/21/2011,7,13,7,2,no result,0,no result,0,0,,Feroz Shah Kotla,SS Hazare,RJ Tucker,
