,team2,t2_score,Unnamed: 0,team1,t1_score,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
152,7,1.226,24,9,1.407,224,2010,12,4/15/2010,9,2,normal,0,7,0,6,G Gambhir,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,SS Hazare,
153,7,1.226,35,9,1.407,289,2011,12,5/12/2011,9,2,normal,0,9,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,
154,7,1.226,41,9,1.407,318,2012,8,4/10/2012,7,1,normal,0,7,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,
155,7,1.226,49,9,1.407,380,2012,12,5/25/2012,7,1,normal,0,9,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk",BR Doctrove,SJA Taufel,
156,7,1.226,51,9,1.407,404,2013,8,4/18/2013,9,2,normal,0,9,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,
157,7,1.226,57,9,1.407,446,2013,12,5/14/2013,9,2,normal,0,9,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,RJ Tucker,
158,7,1.226,60,9,1.407,465,2014,29,4/21/2014,9,2,normal,0,9,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
159,7,1.226,66,9,1.407,519,2015,12,4/9/2015,7,1,normal,0,9,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,
160,7,1.226,76,9,1.407,565,2015,27,5/12/2015,9,2,normal,0,7,0,6,Z Khan,Shaheed Veer Narayan Singh International Stadium,RK Illingworth,VA Kulkarni,
161,7,1.226,80,9,1.407,666,2018,2,30-Apr,7,1,,,9,,,,,,,
162,7,1.226,82,2,1.303,24,2017,6,4/22/2017,7,1,normal,0,2,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,
163,7,1.226,83,2,1.303,44,2017,8,5/6/2017,7,1,normal,0,2,146,0,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan,
164,7,1.226,89,2,1.303,82,2008,6,5/4/2008,7,1,normal,0,2,29,0,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen,
165,7,1.226,91,2,1.303,109,2008,8,5/24/2008,7,1,normal,0,7,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,
166,7,1.226,97,2,1.303,150,2009,17,5/8/2009,2,2,normal,0,7,0,7,A Nehra,Buffalo Park,M Erasmus,SK Tarapore,
167,7,1.226,100,2,1.303,170,2009,16,5/21/2009,7,1,normal,0,7,0,4,V Sehwag,SuperSport Park,IL Howell,S Ravi,
168,7,1.226,102,2,1.303,183,2010,8,3/17/2010,7,1,normal,0,2,98,0,SR Tendulkar,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
169,7,1.226,108,2,1.303,221,2010,6,4/13/2010,2,2,normal,0,2,39,0,KA Pollard,Brabourne Stadium,S Asnani,DJ Harper,
170,7,1.226,118,2,1.303,282,2011,6,5/7/2011,7,1,normal,0,2,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,
171,7,1.226,121,2,1.303,327,2012,6,4/16/2012,7,1,normal,0,7,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,
172,7,1.226,127,2,1.303,390,2013,6,4/9/2013,2,2,normal,0,2,44,0,KD Karthik,Wankhede Stadium,M Erasmus,VA Kulkarni,
173,7,1.226,129,2,1.303,408,2013,8,4/21/2013,2,2,normal,0,7,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi,
174,7,1.226,139,2,1.303,473,2014,30,4/27/2014,2,2,normal,0,7,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
175,7,1.226,144,2,1.303,508,2014,6,5/23/2014,7,1,normal,0,2,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,
176,7,1.226,161,2,1.303,623,2016,26,5/15/2016,7,1,normal,0,2,80,0,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,CK Nandan,
177,7,1.226,165,2,1.303,645,2018,6,14-Apr,7,1,,,7,,,,,,,
178,7,1.226,171,1,0.33,21,2017,1,4/19/2017,1,2,normal,0,1,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,
179,7,1.226,175,1,0.33,39,2017,8,5/2/2017,7,1,normal,0,7,0,6,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon,
180,7,1.226,187,1,0.33,469,2014,31,4/25/2014,1,2,normal,0,1,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,
181,7,1.226,201,1,0.33,561,2015,27,5/9/2015,1,2,normal,0,1,6,0,MC Henriques,Shaheed Veer Narayan Singh International Stadium,VA Kulkarni,S Ravi,
182,7,1.226,210,1,0.33,618,2016,1,5/12/2016,7,1,normal,0,7,0,7,CH Morris,"Rajiv Gandhi International Stadium, Uppal",K Bharatan,M Erasmus,
183,7,1.226,211,1,0.33,628,2016,27,5/20/2016,7,1,normal,0,7,0,6,KK Nair,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,
184,7,1.226,299,8,1.092,120,2009,13,4/19/2009,7,1,normal,1,7,0,10,DL Vettori,Newlands,MR Benson,SD Ranade,
185,7,1.226,305,8,1.092,177,2010,9,3/13/2010,7,1,normal,0,7,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,
186,7,1.226,318,8,1.092,293,2011,24,5/15/2011,7,1,normal,0,8,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,
187,7,1.226,326,8,1.092,369,2012,8,5/15/2012,8,2,normal,0,7,0,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,
188,7,1.226,327,8,1.092,374,2012,24,5/19/2012,7,1,normal,0,7,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,BF Bowden,VA Kulkarni,
189,7,1.226,332,8,1.092,412,2013,24,5/16/2013,7,1,normal,0,8,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi,
190,7,1.226,347,8,1.092,528,2015,2,4/15/2015,8,2,normal,0,7,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,
191,7,1.226,349,8,1.092,548,2015,8,5/1/2015,7,1,normal,0,7,0,9,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi,
192,7,1.226,354,8,1.092,583,2016,8,4/15/2016,7,1,normal,0,7,0,8,A Mishra,Feroz Shah Kotla,S Ravi,C Shamshuddin,
193,7,1.226,358,8,1.092,612,2016,9,5/7/2016,7,1,normal,0,8,9,0,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",HDPK Dharmasena,CK Nandan,
194,7,1.226,364,8,1.092,658,2018,8,23-Apr,7,1,,,8,,,,,,,
195,7,1.226,366,10,1.56,62,2008,8,4/19/2008,10,2,normal,0,7,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,
196,7,1.226,371,10,1.56,115,2008,6,5/30/2008,7,1,normal,0,10,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,
197,7,1.226,377,10,1.56,180,2010,21,3/15/2010,7,1,normal,0,7,0,6,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen,
198,7,1.226,395,10,1.56,349,2012,11,5/1/2012,10,2,normal,0,7,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,
199,7,1.226,401,10,1.56,385,2013,8,4/6/2013,10,2,normal,0,10,5,0,R Dravid,Feroz Shah Kotla,S Das,C Shamshuddin,
200,7,1.226,413,10,1.56,498,2014,21,5/15/2014,7,1,normal,0,10,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
201,7,1.226,418,10,1.56,553,2015,6,5/3/2015,7,1,normal,0,10,14,0,AM Rahane,Brabourne Stadium,HDPK Dharmasena,CB Gaffaney,
202,7,1.226,421,10,1.56,642,2018,11,11-Apr,7,1,,,10,,,,,,,
203,7,1.226,435,6,1.011,95,2008,7,5/13/2008,6,2,normal,0,6,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,
204,7,1.226,442,6,1.011,146,2009,15,5/5/2009,6,2,normal,0,7,0,9,G Gambhir,Kingsmead,GAV Baxter,IL Howell,
205,7,1.226,443,6,1.011,154,2009,18,5/10/2009,7,1,normal,0,7,0,7,A Mishra,New Wanderers Stadium,SL Shastri,RB Tiffin,
206,7,1.226,451,6,1.011,213,2010,7,4/7/2010,6,2,normal,0,6,14,0,SC Ganguly,Eden Gardens,BG Jerling,RE Koertzen,
207,7,1.226,456,6,1.011,266,2011,8,4/28/2011,7,1,normal,0,6,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
208,7,1.226,461,6,1.011,309,2012,7,4/5/2012,7,1,normal,0,7,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,
209,7,1.226,468,6,1.011,378,2012,2,5/22/2012,6,2,normal,0,6,18,0,YK Pathan,Subrata Roy Sahara Stadium,BR Doctrove,SJA Taufel,
210,7,1.226,473,6,1.011,424,2013,27,5/1/2013,6,2,normal,0,7,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,
211,7,1.226,477,6,1.011,463,2014,31,4/19/2014,6,2,normal,0,7,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni,
212,7,1.226,482,6,1.011,545,2015,7,5/7/2015,6,2,normal,0,6,13,0,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus,
213,7,1.226,494,6,1.011,649,2018,7,16-Apr,7,1,,,6,,,,,,,
214,7,1.226,498,5,0.995,5,2017,5,4/8/2017,5,2,normal,0,5,15,0,KM Jadhav,M Chinnaswamy Stadium,,,
215,7,1.226,505,5,0.995,55,2017,8,5/14/2017,5,2,normal,0,5,10,0,HV Patel,Feroz Shah Kotla,CK Nandan,C Shamshuddin,
216,7,1.226,510,5,0.995,104,2008,5,5/19/2008,7,1,normal,0,7,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,
