,team2,t2_score,Unnamed: 0,team1,t1_score,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
281,8,1.092,564,5,0.995,615,2016,9,5/9/2016,8,1,normal,0,5,1,0,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,HDPK Dharmasena,
282,8,1.092,567,5,0.995,626,2016,5,5/18/2016,8,1,normal,1,5,82,0,V Kohli,M Chinnaswamy Stadium,KN Ananthapadmanabhan,M Erasmus,
283,10,1.56,4,9,1.407,83,2008,11,5/4/2008,9,2,normal,0,10,0,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash,
284,10,1.56,8,9,1.407,117,2008,6,6/1/2008,10,1,normal,0,10,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,
285,10,1.56,11,9,1.407,137,2009,16,4/30/2009,10,1,normal,0,9,38,0,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen,
286,10,1.56,21,9,1.407,206,2010,12,4/3/2010,9,2,normal,0,9,23,0,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin,
287,10,1.56,34,9,1.407,285,2011,11,5/9/2011,10,1,normal,0,9,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,
288,10,1.56,56,9,1.407,442,2013,11,5/12/2013,10,1,normal,0,10,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan,
289,10,1.56,61,9,1.407,467,2014,31,4/23/2014,10,1,normal,0,9,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,
290,10,1.56,69,9,1.407,533,2015,21,4/19/2015,9,2,normal,0,10,0,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,
291,10,1.56,75,9,1.407,563,2015,12,5/10/2015,9,2,normal,0,9,12,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk",M Erasmus,CK Nandan,
292,10,1.56,77,9,1.407,653,2018,2,20-Apr,10,1,,,9,,,,,,,
293,10,1.56,92,2,1.303,113,2008,11,5/26/2008,10,1,normal,0,10,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan,
294,10,1.56,101,2,1.303,176,2010,6,3/13/2010,2,2,normal,0,2,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin,
295,10,1.56,107,2,1.303,219,2010,11,4/11/2010,10,1,normal,0,2,37,0,SR Tendulkar,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
296,10,1.56,115,2,1.303,267,2011,11,4/29/2011,10,1,normal,0,10,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,
297,10,1.56,119,2,1.303,299,2011,6,5/20/2011,2,2,normal,0,10,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,
298,10,1.56,120,2,1.303,319,2012,6,4/11/2012,10,1,normal,0,2,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,
299,10,1.56,135,2,1.303,447,2013,6,5/15/2013,10,1,normal,0,2,14,0,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani,
300,10,1.56,143,2,1.303,501,2014,21,5/19/2014,2,2,normal,0,2,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
301,10,1.56,147,2,1.303,526,2015,21,4/14/2015,2,2,normal,0,10,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry,
302,10,1.56,151,2,1.303,549,2015,6,5/1/2015,10,1,normal,0,2,8,0,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
303,10,1.56,167,2,1.303,657,2018,11,22-Apr,2,2,,,10,,,,,,,
304,10,1.56,180,1,0.33,416,2013,11,4/27/2013,1,2,normal,0,10,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath,
305,10,1.56,184,1,0.33,449,2013,1,5/17/2013,1,2,normal,0,1,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AK Chaudhary,
306,10,1.56,185,1,0.33,455,2013,8,5/22/2013,1,2,normal,0,10,0,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker,
307,10,1.56,186,1,0.33,461,2014,29,4/18/2014,10,1,normal,0,10,0,4,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth,
308,10,1.56,191,1,0.33,487,2014,21,5/8/2014,10,1,normal,0,1,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,
309,10,1.56,196,1,0.33,529,2015,26,4/16/2015,10,1,normal,0,10,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,
310,10,1.56,200,1,0.33,558,2015,6,5/7/2015,10,1,normal,0,1,7,0,EJG Morgan,Brabourne Stadium,JD Cloete,C Shamshuddin,
311,10,1.56,216,1,0.33,664,2018,11,29-Apr,1,2,,,1,,,,,,,
312,10,1.56,226,7,1.226,93,2008,11,5/11/2008,10,1,normal,0,10,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,
313,10,1.56,230,7,1.226,133,2009,16,4/28/2009,7,2,normal,0,10,0,5,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen,
314,10,1.56,233,7,1.226,165,2009,20,5/17/2009,7,2,normal,0,7,14,0,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell,
315,10,1.56,239,7,1.226,203,2010,8,3/31/2010,7,2,normal,0,7,67,0,KD Karthik,Feroz Shah Kotla,HDPK Dharmasena,SJA Taufel,
316,10,1.56,243,7,1.226,241,2011,11,4/12/2011,7,2,normal,0,10,0,6,SK Warne,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
317,10,1.56,250,7,1.226,345,2012,8,4/29/2012,7,2,normal,0,7,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,
318,10,1.56,258,7,1.226,433,2013,11,5/7/2013,7,2,normal,0,10,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker,
319,10,1.56,261,7,1.226,480,2014,8,5/3/2014,10,1,normal,0,10,0,7,KK Nair,Feroz Shah Kotla,SS Hazare,S Ravi,
320,10,1.56,267,7,1.226,523,2015,8,4/12/2015,10,1,normal,0,10,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney,
321,10,1.56,283,7,1.226,668,2018,8,2-May,10,1,,,7,,,,,,,
322,10,1.56,292,8,1.092,65,2008,11,4/21/2008,8,2,normal,0,10,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
323,10,1.56,295,8,1.092,97,2008,9,5/28/2008,10,1,normal,0,8,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan,
324,10,1.56,301,8,1.092,130,2009,13,4/26/2009,8,2,normal,0,8,27,0,KC Sangakkara,Newlands,M Erasmus,K Hariharan,
325,10,1.56,310,8,1.092,212,2010,11,4/7/2010,8,2,normal,0,10,0,9,MJ Lumb,Sawai Mansingh Stadium,S Ravi,SK Tarapore,
326,10,1.56,314,8,1.092,256,2011,9,4/21/2011,10,1,normal,0,8,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,PR Reiffel,
327,10,1.56,329,8,1.092,398,2013,11,4/14/2013,10,1,normal,0,10,0,6,JP Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
328,10,1.56,334,8,1.092,436,2013,9,5/9/2013,10,1,normal,0,10,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi,
329,10,1.56,343,8,1.092,509,2014,9,5/23/2014,10,1,normal,0,8,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,
330,10,1.56,438,6,1.011,105,2008,7,5/20/2008,10,1,normal,0,10,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,
331,10,1.56,506,5,0.995,70,2008,5,4/26/2008,10,1,normal,0,10,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,
332,10,1.56,513,5,0.995,119,2009,13,4/18/2009,5,2,normal,0,5,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin,
333,10,1.56,517,5,0.995,148,2009,16,5/7/2009,10,1,normal,0,10,0,7,A Singh,SuperSport Park,K Hariharan,DJ Harper,
334,10,1.56,530,5,0.995,338,2012,11,4/23/2012,10,1,normal,0,5,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,
335,10,1.56,539,5,0.995,420,2013,11,4/29/2013,10,1,normal,0,10,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,
336,10,1.56,546,5,0.995,471,2014,29,4/26/2014,10,1,normal,0,10,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin,
337,10,1.56,548,5,0.995,492,2014,5,5/11/2014,5,2,normal,0,10,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
338,10,1.56,553,5,0.995,546,2015,5,4/29/2015,10,1,no result,0,no result,0,0,,M Chinnaswamy Stadium,JD Cloete,PG Pathak,
339,10,1.56,556,5,0.995,574,2015,2,5/20/2015,5,2,normal,0,5,71,0,AB de Villiers,Maharashtra Cricket Association Stadium,AK Chaudhary,C Shamshuddin,
340,6,1.011,16,9,1.407,166,2009,16,5/18/2009,9,2,normal,0,6,0,7,BJ Hodge,SuperSport Park,SJA Taufel,RB Tiffin,
341,6,1.011,19,9,1.407,182,2010,7,3/16/2010,9,2,normal,0,9,55,0,MS Dhoni,Eden Gardens,HDPK Dharmasena,AM Saheba,
342,6,1.011,27,9,1.407,235,2011,12,4/8/2011,9,2,normal,0,9,2,0,S Anirudha,"MA Chidambaram Stadium, Chepauk",BR Doctrove,PR Reiffel,
343,6,1.011,33,9,1.407,281,2011,7,5/7/2011,9,2,normal,1,6,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,
344,6,1.011,44,9,1.407,347,2012,12,4/30/2012,9,2,normal,0,6,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,
345,6,1.011,50,9,1.407,381,2012,12,5/27/2012,9,2,normal,0,6,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk",BF Bowden,SJA Taufel,
346,6,1.011,52,9,1.407,418,2013,12,4/28/2013,6,1,normal,0,9,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel,
347,6,1.011,62,9,1.407,478,2014,28,5/2/2014,9,2,normal,0,9,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,
348,6,1.011,64,9,1.407,504,2014,7,5/20/2014,6,1,normal,0,6,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin,
349,6,1.011,68,9,1.407,527,2015,7,4/30/2015,6,1,normal,0,6,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus,
350,6,1.011,72,9,1.407,547,2015,12,4/28/2015,6,1,normal,0,9,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni,
351,6,1.011,85,2,1.303,53,2017,7,5/13/2017,6,1,normal,0,2,9,0,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi,
352,6,1.011,94,2,1.303,132,2009,14,4/27/2009,2,2,normal,0,2,92,0,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin,
353,6,1.011,95,2,1.303,138,2009,17,5/1/2009,2,2,normal,0,2,9,0,JP Duminy,Buffalo Park,M Erasmus,SK Tarapore,
354,6,1.011,110,2,1.303,230,2010,7,4/19/2010,2,2,normal,0,6,0,9,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,
355,6,1.011,125,2,1.303,363,2012,7,5/12/2012,2,2,normal,0,2,27,0,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,
356,6,1.011,134,2,1.303,434,2013,6,5/7/2013,2,2,normal,0,2,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,
357,6,1.011,142,2,1.303,497,2014,22,5/14/2014,6,1,normal,0,6,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,
358,6,1.011,146,2,1.303,518,2015,7,4/8/2015,6,1,normal,0,6,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,
359,6,1.011,153,2,1.303,567,2015,6,5/14/2015,6,1,normal,0,2,5,0,HH Pandya,Wankhede Stadium,RK Illingworth,VA Kulkarni,
360,6,1.011,174,1,0.33,36,2017,1,4/30/2017,6,1,normal,0,1,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi,
361,6,1.011,176,1,0.33,57,2017,5,5/17/2017,6,1,normal,1,6,0,7,NM Coulter-Nile,M Chinnaswamy Stadium,AK Chaudhary,Nitin Menon,
362,6,1.011,194,1,0.33,500,2014,1,5/18/2014,1,2,normal,0,6,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,
363,6,1.011,195,1,0.33,511,2014,7,5/24/2014,6,1,normal,0,6,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,
364,6,1.011,197,1,0.33,537,2015,26,4/22/2015,6,1,normal,1,1,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni,
365,6,1.011,205,1,0.33,584,2016,1,4/16/2016,1,2,normal,0,6,0,8,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan,
366,6,1.011,212,1,0.33,634,2016,8,5/25/2016,6,1,normal,0,1,22,0,MC Henriques,Feroz Shah Kotla,M Erasmus,C Shamshuddin,
367,6,1.011,219,7,1.226,18,2017,8,4/17/2017,7,2,normal,0,6,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,
368,6,1.011,220,7,1.226,31,2017,7,4/28/2017,6,1,normal,0,6,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi,
369,6,1.011,238,7,1.226,200,2010,8,3/29/2010,7,2,normal,0,7,40,0,DA Warner,Feroz Shah Kotla,SS Hazare,SJA Taufel,
370,6,1.011,251,7,1.226,357,2012,8,5/7/2012,7,2,normal,0,6,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,
371,6,1.011,253,7,1.226,382,2013,7,4/3/2013,6,1,normal,0,6,0,6,SP Narine,Eden Gardens,S Ravi,SJA Taufel,
372,6,1.011,263,7,1.226,485,2014,8,5/7/2014,7,2,normal,0,6,0,8,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin,
373,6,1.011,269,7,1.226,535,2015,8,4/20/2015,6,1,normal,0,6,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,
374,6,1.011,274,7,1.226,578,2016,7,4/10/2016,6,1,normal,0,6,0,9,AD Russell,Eden Gardens,S Ravi,C Shamshuddin,
375,6,1.011,276,7,1.226,602,2016,8,4/30/2016,6,1,normal,0,7,27,0,CR Brathwaite,Feroz Shah Kotla,KN Ananthapadmanabhan,M Erasmus,
376,6,1.011,282,7,1.226,662,2018,8,27-Apr,6,1,,,7,,,,,,,
377,6,1.011,284,8,1.092,11,2017,7,4/13/2017,6,1,normal,0,6,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,
378,6,1.011,289,8,1.092,48,2017,9,5/9/2017,6,1,normal,0,8,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi,
379,6,1.011,294,8,1.092,81,2008,9,5/3/2008,8,2,normal,0,8,9,0,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram,
380,6,1.011,297,8,1.092,112,2008,7,5/25/2008,8,2,normal,0,6,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,
381,6,1.011,300,8,1.092,123,2009,15,4/21/2009,6,1,normal,1,6,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade,
382,6,1.011,315,8,1.092,270,2011,7,4/30/2011,6,1,normal,0,6,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,
383,6,1.011,320,8,1.092,325,2012,7,4/15/2012,6,1,normal,0,8,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,
384,6,1.011,321,8,1.092,330,2012,9,4/18/2012,8,2,normal,0,6,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,
385,6,1.011,330,8,1.092,400,2013,9,4/16/2013,6,1,normal,0,8,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",CK Nandan,SJA Taufel,
386,6,1.011,333,8,1.092,415,2013,7,4/26/2013,8,2,normal,0,6,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,
387,6,1.011,337,8,1.092,472,2014,29,4/26/2014,6,1,normal,0,8,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,
388,6,1.011,341,8,1.092,491,2014,22,5/11/2014,6,1,normal,0,6,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan,
389,6,1.011,345,8,1.092,517,2014,5,6/1/2014,6,1,normal,0,6,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
390,6,1.011,348,8,1.092,532,2015,2,4/18/2015,6,1,normal,0,6,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,
391,6,1.011,350,8,1.092,560,2015,7,5/9/2015,8,2,normal,0,6,0,1,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,
392,6,1.011,355,8,1.092,589,2016,9,4/19/2016,6,1,normal,0,6,0,6,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin,
393,6,1.011,367,10,1.56,78,2008,11,5/1/2008,10,2,normal,0,10,45,0,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar,
394,6,1.011,372,10,1.56,126,2009,13,4/23/2009,6,1,tie,0,10,0,0,YK Pathan,Newlands,MR Benson,M Erasmus,
395,6,1.011,376,10,1.56,168,2009,15,5/20/2009,6,1,normal,0,6,0,4,LR Shukla,Kingsmead,BG Jerling,SJA Taufel,
396,6,1.011,379,10,1.56,187,2010,21,3/20/2010,10,2,normal,0,10,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin,
397,6,1.011,384,10,1.56,227,2010,7,4/17/2010,10,2,normal,0,6,0,8,JD Unadkat,Eden Gardens,BG Jerling,RB Tiffin,
398,6,1.011,385,10,1.56,246,2011,11,4/15/2011,6,1,normal,0,6,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,SS Hazare,
399,6,1.011,386,10,1.56,251,2011,7,4/17/2011,6,1,normal,0,6,0,8,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,
400,6,1.011,391,10,1.56,314,2012,11,4/8/2012,6,1,normal,0,10,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,
401,6,1.011,392,10,1.56,322,2012,7,4/13/2012,10,2,normal,0,6,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,
402,6,1.011,402,10,1.56,389,2013,11,4/8/2013,6,1,normal,0,10,19,0,SK Trivedi,Sawai Mansingh Stadium,Aleem Dar,S Das,
403,6,1.011,407,10,1.56,427,2013,7,5/3/2013,10,2,normal,0,6,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,
404,6,1.011,410,10,1.56,476,2014,29,4/29/2014,10,2,tie,0,10,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary,
405,6,1.011,411,10,1.56,482,2014,21,5/5/2014,6,1,normal,0,10,10,0,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan,
406,6,1.011,419,10,1.56,570,2015,6,5/16/2015,10,2,normal,0,10,9,0,SR Watson,Brabourne Stadium,RM Deshpande,RK Illingworth,
407,6,1.011,423,10,1.56,651,2018,11,18-Apr,6,1,,,6,,,,,,,
408,6,1.011,504,5,0.995,45,2017,5,5/7/2017,6,1,normal,0,6,0,6,SP Narine,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin,
409,6,1.011,519,5,0.995,178,2010,7,3/14/2010,6,1,normal,0,6,0,7,MK Tiwary,Eden Gardens,HDPK Dharmasena,AM Saheba,
410,6,1.011,543,5,0.995,441,2013,28,5/12/2013,6,1,normal,0,6,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath,
411,6,1.011,563,5,0.995,606,2016,5,5/2/2016,6,1,normal,0,6,0,5,AD Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi,
412,6,1.011,568,5,0.995,639,2018,7,4/8/2018,6,1,,,6,,,,,,,
413,5,0.995,2,9,1.407,74,2008,5,4/28/2008,9,2,normal,0,9,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,
414,5,0.995,9,9,1.407,122,2009,14,4/20/2009,9,2,normal,0,9,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel,
415,5,0.995,15,9,1.407,159,2009,15,5/14/2009,9,2,normal,0,5,0,2,LRPL Taylor,Kingsmead,BR Doctrove,DJ Harper,
416,5,0.995,18,9,1.407,173,2009,18,5/23/2009,5,1,normal,0,5,0,6,MK Pandey,New Wanderers Stadium,RE Koertzen,SJA Taufel,
417,5,0.995,29,9,1.407,248,2011,12,4/16/2011,9,2,normal,0,9,21,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,AL Hill,
418,5,0.995,37,9,1.407,302,2011,5,5/22/2011,5,1,normal,0,5,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,
419,5,0.995,38,9,1.407,307,2011,12,5/28/2011,9,2,normal,0,9,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
420,5,0.995,63,9,1.407,499,2014,28,5/18/2014,9,2,normal,0,5,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
421,5,0.995,70,9,1.407,538,2015,5,4/22/2015,5,1,normal,0,9,27,0,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,
422,5,0.995,73,9,1.407,554,2015,12,5/4/2015,9,2,normal,0,9,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,K Srinath,
423,5,0.995,87,2,1.303,63,2008,6,4/20/2008,2,2,normal,0,5,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,
424,5,0.995,96,2,1.303,143,2009,18,5/3/2009,2,2,normal,0,5,0,9,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene,
425,5,0.995,98,2,1.303,153,2009,14,5/10/2009,2,2,normal,0,2,16,0,JP Duminy,St George's Park,BR Doctrove,BG Jerling,
426,5,0.995,103,2,1.303,188,2010,6,3/20/2010,2,2,normal,0,5,0,7,JH Kallis,Brabourne Stadium,HDPK Dharmasena,SS Hazare,
427,5,0.995,109,2,1.303,226,2010,5,4/17/2010,5,1,normal,0,2,57,0,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,
428,5,0.995,111,2,1.303,231,2010,6,4/21/2010,2,2,normal,0,2,35,0,KA Pollard,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,
429,5,0.995,124,2,1.303,360,2012,6,5/9/2012,5,1,normal,0,5,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni,
430,5,0.995,130,2,1.303,417,2013,6,4/27/2013,2,2,normal,0,2,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
431,5,0.995,137,2,1.303,462,2014,31,4/19/2014,5,1,normal,0,5,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary,
432,5,0.995,140,2,1.303,484,2014,6,5/6/2014,5,1,normal,0,2,19,0,RG Sharma,Wankhede Stadium,S Ravi,K Srinath,
433,5,0.995,149,2,1.303,534,2015,5,4/19/2015,5,1,normal,0,2,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,
434,5,0.995,166,2,1.303,650,2018,6,17-Apr,5,1,,,2,,,,,,,
435,5,0.995,168,1,0.33,1,2017,1,4/5/2017,5,1,normal,0,1,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,
436,5,0.995,181,1,0.33,432,2013,5,4/9/2013,1,2,normal,0,5,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,SJA Taufel,
437,5,0.995,190,1,0.33,481,2014,5,5/4/2014,5,1,normal,0,5,0,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni,
438,5,0.995,203,1,0.33,568,2015,1,5/15/2015,1,2,normal,1,5,0,6,V Kohli,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,
439,5,0.995,207,1,0.33,603,2016,1,4/30/2016,5,1,normal,0,1,15,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,
440,5,0.995,213,1,0.33,636,2016,5,5/29/2016,1,2,normal,0,1,8,0,BCJ Cutting,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
441,5,0.995,224,7,1.226,76,2008,8,4/30/2008,5,1,normal,0,7,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,
442,5,0.995,234,7,1.226,167,2009,18,5/19/2009,7,2,normal,0,5,0,7,JH Kallis,New Wanderers Stadium,IL Howell,RB Tiffin,
443,5,0.995,237,7,1.226,197,2010,5,3/25/2010,5,1,normal,0,7,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen,
444,5,0.995,240,7,1.226,209,2010,8,4/4/2010,7,2,normal,0,7,37,0,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus,
445,5,0.995,245,7,1.226,263,2011,8,4/26/2011,5,1,normal,0,5,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,
446,5,0.995,255,7,1.226,401,2013,5,4/16/2013,5,1,tie,0,5,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni,
447,5,0.995,260,7,1.226,459,2014,30,4/17/2014,5,1,normal,0,5,0,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,
448,5,0.995,271,7,1.226,543,2015,8,4/26/2015,5,1,normal,0,5,0,10,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi,
449,5,0.995,273,7,1.226,571,2015,5,5/17/2015,5,1,no result,0,no result,0,0,,M Chinnaswamy Stadium,HDPK Dharmasena,K Srinivasan,
450,5,0.995,279,7,1.226,632,2016,27,5/22/2016,5,1,normal,0,5,0,6,V Kohli,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,
451,5,0.995,281,7,1.226,655,2018,5,21-Apr,5,1,,,5,,,,,,,
452,5,0.995,287,8,1.092,42,2017,5,5/5/2017,5,1,normal,0,8,19,0,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C Shamshuddin,
